,target
1891,26892
12766,19718
5692,25597
9585,19157
295,28785
9243,20375
1046,28542
3465,25195
5483,27597
6532,24323
1785,26910
10875,16576
286,28818
5271,28635
6475,23350
1758,27938
6520,23567
1284,25972
4667,28775
11232,16143
8982,20065
11366,16539
9260,20207
11624,18928
9060,20101
4791,28431
3033,25017
4074,26785
9426,19703
12329,17912
549,29700
3833,24502
7105,21024
4974,29140
8952,20891
1731,27563
12429,17294
6978,21824
10118,18544
12563,23213
3702,23342
12847,19301
10062,17634
2648,23462
2586,23491
7231,19246
4742,28938
12177,16959
7764,20074
5936,24073
3160,25045
8037,18711
5804,26182
11254,16477
5186,28819
9252,20388
2377,27280
11028,15780
7406,21525
8337,16574
4411,30032
9050,20423
3115,25000
10465,17381
7146,19958
6658,24385
2025,27817
11617,18778
6822,22356
5714,25271
6030,26098
10264,17585
10873,16718
2585,23337
1303,25703
3282,25588
10620,17692
7087,21436
12117,17323
6618,24252
5653,25775
3948,26166
9178,19638
11532,17142
12428,17282
8720,21681
12955,20104
9191,20223
1613,26735
10562,17481
10074,18056
7136,20139
3978,26308
5013,28366
10638,17670
5318,29219
6113,25030
10036,18244
4069,26761
2981,24044
12385,17496
467,29030
9729,18772
11743,18103
10224,17970
4337,28243
12212,16888
4029,26486
106,27240
10155,18282
6220,24960
2638,23100
6639,23546
11883,17796
12484,18670
12024,17533
9902,19393
411,29389
12744,19747
11330,16864
12114,17361
11020,16077
11380,16662
11921,18030
12467,18295
8776,21650
11618,18810
7681,20648
12482,18437
4265,26968
1503,25940
6373,23680
9803,18761
11391,16960
4475,29109
4665,28871
5424,27735
10618,17672
8124,18010
4896,29008
1862,27025
8242,15222
11158,16723
6098,25057
2360,27342
5611,26546
8762,21650
2133,28973
8546,19782
8735,21592
2406,26419
29,25819
6560,24190
10084,18010
2801,23595
10029,18232
4398,29805
2922,22888
5040,28394
568,29944
11529,17314
13299,23344
10425,17037
9082,19730
1245,25586
8109,17205
12349,17734
1458,26603
1943,26511
1835,26803
12360,17732
316,28885
108,27214
10523,17715
4403,29513
6825,22291
7268,20400
11474,16242
10097,18208
3954,26537
8615,19186
12748,19917
13304,23478
13159,23024
1748,27689
8794,22517
4894,29033
4123,26840
7586,21742
2678,24209
5577,26167
4847,28634
2715,24439
7341,20967
3997,26468
8246,15048
4015,26620
10539,17448
4238,26325
6069,25414
11758,18347
6205,25285
10832,17163
5835,25039
10373,17728
5914,24484
1398,27069
11908,18424
973,28856
12824,19810
9527,18660
4004,26419
9021,20481
8518,19536
7590,21155
9336,19591
13147,22978
10895,16189
11456,16611
4902,28931
7930,19487
7460,20914
1374,26605
3088,24355
6264,23841
13368,20691
13286,23657
11483,16469
11059,15434
2458,26434
4429,29420
4693,29097
4884,28839
5114,28171
7034,21859
10,25057
7271,20100
8881,21162
6162,25312
1426,27062
10862,16726
3265,25202
11535,17258
10721,16434
718,27763
7025,22631
8658,19999
10219,17952
4191,26449
10468,17188
12447,17425
5076,28056
735,27300
5987,25225
5434,28012
323,28937
9404,20133
2140,29069
5396,27281
7078,21311
12247,17078
909,28442
2627,22989
9103,19152
5689,25742
3399,24388
496,30078
13392,19575
8390,18233
6690,25017
9237,20340
10000,18775
8423,17541
3470,24688
1206,25877
12361,17785
