,target
7533,20648
12815,22940
13065,23070
10170,17771
735,27300
11026,16434
5453,26097
323,28937
4403,29207
2140,28891
6923,21439
12163,17081
11770,17583
909,28448
2627,23947
9744,19527
7383,21856
3399,25375
496,30078
10270,17084
11868,17349
6858,22054
9254,19582
9387,19071
8440,19211
3470,25366
1206,25282
3844,24888
11820,17843
8668,21854
5426,26040
7109,19935
1195,25764
10288,17656
7933,17247
13369,23326
8076,16163
4100,26364
13325,23163
5646,25967
11522,18345
11354,18541
8126,14637
288,28858
4096,26359
9095,20825
6884,22327
11333,18160
11633,17976
13285,23403
9072,20395
5914,26019
5114,28628
388,29046
836,27259
11445,19183
6532,24493
280,29063
3804,24753
5640,25983
8119,14931
4695,27960
10291,17826
9048,20421
6290,22909
1112,28340
7671,20045
7168,20237
11598,18422
11275,16681
11067,16689
1034,28577
5598,25416
5212,28850
267,28729
9278,19915
1598,26875
9978,18156
8728,21245
8094,15150
9441,19511
9152,19480
5563,24780
6504,23787
8762,20645
6243,23650
3048,24651
12025,17613
10780,16183
1379,26716
4702,28198
11888,17021
10368,17829
10642,16676
12117,17639
10605,16762
416,29193
4455,30694
11272,16534
3371,25342
1962,27669
3790,24835
620,29458
1703,27524
7949,17171
12985,24707
11574,18345
7826,19345
3473,25738
3776,24640
8184,16295
9707,19950
1232,25569
10765,15648
13141,21361
7539,20882
7926,17787
5090,28857
7592,19761
10576,16706
2516,22698
5999,25195
10334,17234
3094,24237
13176,21394
7520,20716
1190,25963
11440,19238
10887,16006
6475,24824
9210,19985
6851,21909
7988,17668
3944,26580
11875,17089
12796,22680
5635,25917
7942,17168
1506,26036
6363,23197
11673,18305
7890,18485
5038,28910
9839,17941
11132,16612
7529,20511
13138,20970
8718,21232
794,26809
11873,17242
730,27611
1344,25509
7614,19980
10672,16324
11526,18318
11109,16437
2626,24080
5843,24471
10440,17400
5436,26145
1745,27619
1315,25826
3853,24867
6727,20335
5689,25841
13147,21585
2709,23957
10773,16175
12798,22637
7886,18514
2675,24408
1199,25560
10859,16090
13236,21935
4190,26968
6843,21765
3126,26300
1156,26062
11070,16755
12147,17103
1889,26348
13289,23127
8940,19406
13049,23823
32,25945
4685,27852
9104,20598
10465,16888
8573,21791
1336,25351
6834,21363
8124,15025
11538,18147
7691,19734
6234,24215
9635,19013
1610,26737
939,28377
7017,20085
11342,18425
11958,16983
4325,29515
13220,21941
9934,18557
745,27306
5512,26345
5617,25336
1486,26022
2877,22888
3884,26566
3954,26332
605,29497
1741,27660
8339,19550
1533,25678
2651,24508
5931,26113
12986,24717
13323,23235
6723,20734
3002,24016
1821,26451
7466,20823
9393,19019
1330,25420
12447,20458
7744,20272
957,28883
2110,29069
12789,22460
8309,18293
3130,26511
8872,20314
3405,25127
7596,19787
5020,28230
13240,22425
1660,26978
1026,28470
3827,24483
5608,25271
5885,25430
1247,26135
11986,17155
10103,17197
655,28911
623,29637
9727,19990
762,27235
10768,15544
7250,21849
4693,27771
5129,28683
2199,26334
12177,17282
7042,21001
5344,28006
3214,25148
6134,24674
5538,25628
11711,17853
10283,17397
5290,27100
13080,23209
4671,28406
2764,23737
5328,27821
1405,27266
7176,19981
2625,23993
8217,18324
4215,27619
4194,27225
8188,16066
3148,26275
2928,23606
1746,27649
13295,23257
7474,20496
2873,23327
3547,24230
7303,20745
12610,18889
4265,28236
11136,16539
2457,24882
8750,21281
9443,19361
76,26626
3912,26243
12169,17194
7991,17295
7959,17080
6561,24990
9050,20289
2698,23870
6237,24017
4959,27923
7976,18019
6369,23159
2260,27099
8114,15456
1775,26305
12939,23795
4447,29915
93,26865
13157,21060
9178,19889
6611,24678
5828,24050
5862,25268
13349,23784
6740,20561
714,27395
3181,25470
4885,29140
1076,28390
8020,16493
10285,17658
4125,26517
2015,27856
6201,24013
6912,21690
1885,26424
7342,21142
4791,28882
6934,21366
7359,21742
7743,20283
4395,29030
1488,26015
6567,24956
4755,29016
8992,19644
9044,20345
4609,29289
4832,28576
2759,23639
6119,24610
7120,20442
4030,26556
3352,24450
1437,26621
1233,25608
6903,21772
185,27692
3753,24419
7974,18029
9468,19730
7750,19978
6350,23295
5173,28444
2465,23085
5396,26212
2286,27533
2067,28312
1297,25727
5459,26311
5674,26336
3752,24404
10071,17667
10261,17144
449,28725
3746,24166
4244,28078
2960,24676
10140,17857
6006,24950
3621,23575
2317,27539
8134,15565
4981,27909
2185,27218
381,28823
1890,26440
1155,26033
10193,17665
9577,18582
7307,20716
1728,27689
6062,25419
9464,20191
9665,19097
2425,26053
2727,24196
12501,19685
9774,19084
1253,26175
10120,17654
4810,29246
5500,26504
4527,28955
2503,21289
6247,23514
12839,23459
2463,23332
6398,23773
2846,24371
9929,18805
4099,26453
11183,16787
1612,26715
4629,28995
3656,23509
2191,26960
1729,27705
10057,17744
8051,16700
8650,21834
13181,21623
5504,26558
12251,19850
4047,26696
4454,30742
6810,22002
6020,24864
11768,17591
8886,19915
10914,16256
2755,23345
2492,23280
3139,26072
9940,18418
4462,30949
13004,24090
3272,24714
11474,18906
4826,28764
2889,23335
788,26640
6458,24333
4643,29564
13076,23150
4919,28301
6081,25493
4604,29292
9858,17795
7794,19190
11508,18449
1780,26380
13262,22466
2959,24697
8526,21056
6967,20929
349,28183
13139,21493
4743,28541
3349,24425
42,26515
801,26693
3529,24477
9060,20442
981,28661
3458,25272
4785,28860
7195,20956
6176,23737
8410,19430
4701,28202
12171,17307
9820,18327
6496,24284
7966,18010
916,28172
1616,26738
8248,17962
5683,25864
2146,29055
1833,26614
10369,17621
11324,17722
11410,19343
6030,24690
4635,28970
8721,21135
9698,19639
782,26717
6639,23695
6252,23680
8732,21129
9297,19488
2401,26175
13406,22865
2152,28729
13108,19936
2947,24134
8594,21624
11992,17126
13048,23822
9279,19822
4344,29445
4985,28056
10210,17115
3023,24170
3541,24483
3279,24858
12823,22632
7562,20410
11572,18320
2804,24081
2211,26167
11997,17151
7377,22105
13142,21416
3133,26162
5058,29192
9718,20256
2107,28950
8673,21725
10556,16797
3973,26401
10753,14978
3034,24345
4742,28619
3286,24682
2367,26693
8260,17353
10371,17594
440,28643
11355,18382
5933,26154
12048,17502
6145,23841
8852,20597
1224,25180
7200,20929
2592,23197
3247,25076
9349,18460
10310,17727
13455,23767
6717,20899
2691,23572
4132,26634
6027,24754
4923,28366
2249,27293
8140,15409
8827,19860
7038,20880
9051,20246
3649,23333
9615,19207
8889,19727
4665,28916
5875,25225
1360,26598
3196,25225
2037,28396
486,29769
8934,19374
783,26642
6618,24236
12900,23014
12567,19737
3238,25108
10897,16344
12184,17382
11391,19027
6925,21377
13435,23540
5566,25042
7444,21155
1915,26264
8430,19454
10553,16817
3464,25139
2138,28982
8565,21737
4480,30676
742,27329
6746,20547
9725,20028
6438,24219
12968,24223
12444,20412
3442,25461
4862,28897
2847,24376
5719,25273
5712,25442
13399,23066
5651,25845
4374,28451
9571,18938
5967,25231
10851,16153
1834,26640
8531,21416
7821,18828
11308,17596
6311,23186
9856,17814
6214,24173
9570,18940
7336,21230
8486,20059
3003,24212
23,25927
10489,16499
3524,24609
10776,16090
7662,20106
8035,16379
1309,25592
10628,16875
12607,18907
3475,25329
789,26734
10694,16332
10712,16120
3284,25044
12770,21671
2514,23057
9867,17812
7514,20627
5785,24188
12866,23632
11181,16770
7874,18655
3688,23951
1395,27103
4526,28901
4337,29984
13396,23209
5709,25763
11544,18361
9234,19654
12420,19637
11645,17960
6661,22838
4772,28437
7689,19787
3301,24354
11511,18449
9253,19682
9717,20229
5716,25396
712,27604
4279,28481
7582,19527
10129,17571
1822,26441
13360,23649
5066,28875
11971,17222
11799,18165.1
7297,21175
12637,19537
1977,27760
10710,16174
3264,24724
5340,27909
252,28510
10236,17037
2098,28666
4641,28926
13222,21927
3671,23476
6194,23312
9770,19059
12689,20093
6436,24190
4754,29054
9395,19310
8806,19949
5627,25630
10683,16154
7477,20602
7134,20060
5579,25573
6914,21930
5339,27882
13382,23213
6889,22433
8492,19810
11263,16253
56,26606
3412,24688
4521,29160
2855,24329
9194,19575
2986,24909
8293,17267
5023,28272
11909,17278
6896,22091
10608,16753
6045,25184
7612,20121
2188,27125
5250,28651
4049,26880
9415,19273
8498,20238
6569,24890
6018,24850
3544,24433
519,30084
10182,17797
9381,19008
6625,24035
6203,24088
227,27826
6952,21366
6955,20970
6631,23463
6395,23530
12579,19532
9107,20749
1699,27167
13389,23019
12075,17694
1877,26429
513,30204
7457,20966
4617,28883
8639,22239
13188,22148
4963,28016
7225,20995
4833,28536
7772,19694
2916,22796
480,29634
5775,24080
6064,25373
2577,23453
4708,28386
12201,17673
9639,18990
12010,17122
5489,26287
7376,22290
1596,26735
10497,16256
3896,26285
12279,22749
1349,26476
11121,16438
5844,24599
3777,24670
9972,18101
12181,17408
9682,19501
7767,19800
9575,18597
12418,19681
9948,18431
10993,16541
2762,23696
13239,22458
5272,27946
3685,23891
3602,24401
8944,19018
9709,20053
1446,26575
5513,26254
1020,28498
705,27732
12097,17721
1866,26868
12593,19291
11323,17719
4722,28367
10546,16688
2574,23447
13321,23246
2956,24261
3742,24102
3914,26080
7727,19208
1419,27003
1103,28454
10559,16627
7578,20032
8247,18036
1558,25774
5226,29231
5770,24454
8098,15511
11518,18347
3523,24598
