,target
1597,26540
8728,21763
1097,28549
394,29255
9754,19319
1901,26410
11114,15982
3669,24154
12212,16888
1180,25943
7366,21040
1911,26360
11117,16004
3353,24510
8857,21250
3006,24697
2214,27894
8541,19840
2781,24553
7874,19495
13429,21450
8628,19366
4708,28995
8929,20996
11947,17958
6119,24911
2879,23450
7847,19709
5589,26238
11801,18287
8677,20764
11951,18064
3692,23574
7920,19800
9194,20330
3559,25020
10316,17230
1691,26756
8074,17871
9970,19059
5512,25202
6826,22298
123,27097
9819,19535
1952,26516
11598,18411
9075,19382
11188,16855
6494,22780
10797,16569
4863,28680
3413,24773
10513,17772
13054,22336
906,28424
6523,23619
12558,23146
3118,24992
11294,16615
6896,18315
4993,28213
3958,26194
9515,19070
13275,24090
6210,24850
1891,26892
9971,19001
11030,15690
8405,18145
295,28785
12751,19854
1046,28542
3574,24651
5572,26245
13376,19653
1785,26910
10384,17837
286,28818
8178,16520
4802,28525
1758,27938
7675,20491
1284,25972
4739,28934
6735,24732
11594,18392
11440,17135
4606,28899
7664,20678
9119,19572
13250,24693
3033,25017
567,29949
6631,23647
9933,19527
549,29700
5113,28283
7639,20860
8251,15182
6181,25373
1731,27563
10309,17197
7499,21652
10180,18148
6697,24799
3817,24404
10325,17344
4385,29908
2648,23462
2586,23491
7476,21492
9876,19325
12255,17199
5958,24644
6027,26019
3160,25045
5786,26291
11377,16570
12716,20566
5270,28524
6237,24610
8097,17474
2377,27280
11099,15713
4245,26410
4983,28472
7272,19998
7033,22003
3115,25000
10551,17292
7246,19726
6756,24008
2025,27817
12729,19910
6921,21035
5804,26182
7558,21468
4667,28775
10942,15880
2585,23337
1303,25703
3282,25588
9574,19038
7187,20698
9674,19570
8416,17662
5743,26052
5970,25023
9237,20340
5404,27440
12507,20675
8777,21655
5514,25341
10263,17605
1613,26735
13482,22008
6536,24510
11407,16741
2015,27917
13385,19300
6023,25935
9247,20567
9545,18042
4111,26718
5304,28732
2981,24044
11919,18173
467,29030
4783,28276
11816,18345
7895,20283
4404,29461
4217,26464
381,28823
106,27240
11196,16428
7337,20956
2638,23100
8005,18801
11959,17587
12408,17177
3647,24624
6740,24707
411,29389
9563,18903
8376,17734
12192,16775
8621,19720
11454,16476
11998,18021
8061,17980
10125,18362
11978,17681
4786,28202
3946,25876
6107,24989
1503,25940
9744,19237
11217,16555
7313,20107
11679,19212
10952,15283
9809,19072
10684,16843
7592,21141
13188,24377
1862,27025
7853,19644
10898,16167
7383,21366
2360,27342
5701,25465
11896,17905
2133,28973
8602,19287
12979,20571
2406,26419
29,25819
7615,20854
5714,25271
5931,24090
2801,23595
5665,24856
13026,21413
2922,22888
5120,28380
6161,25184
568,29944
11604,18181
8644,20112
6922,21487
6459,23142
1245,25586
7881,19426
12627,19399
1458,26603
1943,26511
1835,26803
11715,18737
316,28885
108,27214
9901,19580
7328,20385
4073,26767
12566,21856
5349,28648
10159,18148
5847,24782
13122,23063
5909,24338
