,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,target
cs_base_day_current_year,0.0110995,0.0158433,0.0149925,-0.0269259,-0.79756,-0.027998,-0.00931181,-0.00963803,-0.0196438,0.0109871,1,-0.0297178,0.00922715,0.0149838,0.0260294,-0.0203663,-0.587535,-0.0184164,0.00338791,0.00132466,0.0575657,-0.0496107,-0.456609,0.0130409,-0.00701226,-0.00857484,-0.0455274,0.0381234,0.631487,0.0279676,-0.00652647,-0.00919273,-0.0266434,0.0147974,0.740919,-0.0089098,-0.0960029
cs_base_day_current_month_minus,-0.00343239,-0.0114055,-0.00316518,0.0143511,-0.00310787,-0.700238,0.00136907,-0.00628852,0.00327342,-0.00633719,-0.0297178,1,-0.00304175,-0.00905051,-0.00486281,-0.17093,-0.0325747,-0.491097,-0.00382782,0.00565889,-0.00500723,-0.183728,0.00712,-0.487024,0.0035769,0.0126076,0.00346344,0.0416589,0.00182739,0.589992,0.00162137,-0.00757071,0.00502056,0.124476,0.00772196,0.667907,0.0180023
cs_base_hour_minus_current_hour,0.61357,0.00220008,0.118735,0.00107069,-0.000355869,0.0039129,-0.376205,-0.000574531,-0.262592,-0.00268828,0.00922715,-0.00304175,1,-0.000356204,-0.0169548,0.00273578,0.00340296,0.00156789,0.552477,-0.00139807,-0.0128945,-0.00237562,0.00465101,0.00356741,-0.406433,-0.00143552,-0.127999,0.0038051,-0.00475908,-0.00647759,-0.888049,0.0014175,-0.0910054,-0.0047034,0.00355752,-0.00115766,-0.0128518
cs_base_hour_minus_current_day,0.00053875,0.663817,-0.00255523,0.000261683,-0.00520711,0.00542922,0.000844966,-0.488251,0.00163177,0.000834159,0.0149838,-0.00905051,-0.000356204,1,-0.00433062,-0.000103709,-0.00623563,-0.00702505,-0.00244484,0.580889,-0.000824705,0.00605778,-0.010745,-0.00120514,0.000292062,-0.489626,0.00127894,-0.00385024,0.00423116,-0.00495061,0.00114554,-0.873638,0.00359033,-5.68249e-05,0.0150776,0.00269982,-0.0020713
cs_base_hour_minus_current_hour_minus,-0.0157896,-0.00468526,0.728288,-0.00114026,-0.0369412,0.000697051,-0.0521396,0.00317092,-0.540709,-0.00301461,0.0260294,-0.00486281,-0.0169548,-0.00433062,1,-0.00154587,-0.0150687,0.000641282,0.368704,-0.00256087,0.571801,-0.00272759,-0.0631193,0.00542006,-0.186251,0.00451395,-0.601954,0.00244741,0.0803772,-0.00302231,-0.068158,0.00312267,-0.880734,-0.000166399,0.0150705,-0.00240549,0.00577857
cs_base_hour_minus_current_month,0.00247461,0.000434382,-0.000540115,0.648741,0.00737177,0.0948798,-0.00133149,-0.0119536,-0.00150701,-0.487697,-0.0203663,-0.17093,0.00273578,-0.000103709,-0.00154587,1,-0.0218541,-0.0393977,-0.000713695,0.00711767,0.00129413,0.566227,0.0539005,0.0515376,-0.000620294,0.00089655,-0.000174557,-0.466892,-0.0448299,-0.159912,-0.00173764,-0.00663904,0.000141198,-0.873916,0.00473342,-0.0303904,-0.00743443
cs_base_hour_minus_current_year,0.00407564,-0.00922007,-0.012031,0.0140534,0.660279,0.00933539,-0.00306446,0.00476823,0.00864239,0.0301459,-0.587535,-0.0325747,0.00340296,-0.00623563,-0.0150687,-0.0218541,1,-0.00621901,0.00168788,0.000370957,-0.0227627,0.00976259,0.566144,-0.00881037,-0.00278472,0.00497223,0.0261191,-0.0558538,-0.552894,0.00452343,-0.00232136,0.00343426,0.0115972,0.0491239,-0.847663,-0.0237442,0.248697
cs_base_hour_minus_current_month_minus,0.00177852,-0.00898562,0.00101439,0.103931,0.00405606,0.680804,-0.000702867,0.00957742,-0.000509398,-0.166486,-0.0184164,-0.491097,0.00156789,-0.00702505,0.000641282,-0.0393977,-0.00621901,1,0.00284194,0.000457817,-0.003092,0.0736379,-0.0174537,0.586297,-0.00245736,-0.000554075,0.00216029,-0.178983,0.0130262,-0.509861,-0.000960398,0.0106583,-0.00056226,-0.0210562,-0.00523911,-0.875336,0.0869886
cs_base_month_current_hour,0.368664,-0.000663186,0.359447,-1.32475e-05,7.31488e-05,0.00302018,-0.566587,0.00110815,-0.472747,-0.00210197,0.00338791,-0.00382782,0.552477,-0.00244484,0.368704,-0.000713695,0.00168788,0.00284194,1,-0.00194684,0.033648,4.00229e-06,0.00300958,0.00475079,-0.527623,0.000670452,-0.153555,0.000382125,-0.00325624,-0.00451707,-0.675572,0.00237131,-0.399093,-0.000618492,0.00057581,-0.00260908,-0.00733027
cs_base_month_current_day,-0.000977844,0.32183,-0.00114431,0.000200048,0.00543511,-0.00546716,0.000762778,-0.488176,0.00131725,0.0013166,0.00132466,0.00565889,-0.00139807,0.580889,-0.00256087,0.00711767,0.000370957,0.000457817,-0.00194684,1,-0.00192746,0.00270881,-0.00457216,0.00639068,0.00113341,-0.491451,0.000903073,0.00137526,-0.00475857,0.00140817,0.00112695,-0.693093,0.00265465,-0.00667368,0.00591786,-7.04188e-06,0.00486845
cs_base_month_current_hour_minus,0.0518454,0.00086252,0.280027,-0.00184717,-0.0702125,0.000163353,-0.0509521,-0.000703672,-0.454415,-0.00631127,0.0575657,-0.00500723,-0.0128945,-0.000824705,0.571801,0.00129413,-0.0227627,-0.003092,0.033648,-0.00192746,1,-0.00636781,-0.108599,0.00553707,-0.0610678,0.000444168,-0.452243,0.00965206,0.145004,-0.0050432,0.0724574,0.000827371,-0.707113,-0.00632156,0.0293228,6.81363e-05,-0.00436701
