,target
8193,16222
12137,17461
8373,19652
5900,26125
3160,25616
7336,21230
5768,24424
8731,21340
8608,21719
6108,24707
2377,26424
10990,16555
9947,18447
13373,23200
8961,19662
8079,15504
3115,25308
10650,16675
7104,19985
6620,24165
2025,28292
11625,18117
8283,17719
9362,18313
11347,18394
5781,24174
10837,15390
2585,22961
1303,25654
3282,24864
7900,18192
7046,20718
4352,29426
10163,17908
7258,21723
3902,26343
9149,19576
7572,20032
12388,19621
8693,21317
5364,27269
9162,19714
1613,26672
10530,16408
7681,19923
4502,30264
3931,26381
4982,27935
5099,28805
3851,24840
5406,25272
11239,16248
12083,17842
2981,24871
10090,17902
467,29030
7061,20009
11705,17958
7745,19967
6157,23476
4127,26562
8229,18126
106,27240
6756,19641
13275,22787
2638,24095
6594,24681
11843,17403
12290,21982
6676,22556
11415,19535
411,29389
7288,20921
8295,17263
12998,24545
11342,18425
11881,17141
12308,23213
11966,16916
8419,19563
3995,26757
5723,25019
7131,20100
1503,26050
12366,19620
5651,25845
9656,18972
4447,29915
8971,19770
6237,24017
10586,16620
7447,20993
7620,20007
1862,27082
4292,28865
10108,17209
6062,25419
2360,26350
5576,25342
8735,21099
2133,28895
8585,21525
9264,19959
2406,26284
29,25819
12826,22835
5589,25680
2801,24320
5584,25730
10288,17656
2922,23599
5404,25038
568,29944
11491,18185
10848,15987
12058,17490
8762,20645
1245,26346
12907,23583
6945,21410
1458,26260
1943,26531
1835,26576
11602,18327
316,28885
108,27214
9022,20563
11232,16363
12977,24582
9822,18295
12736,20854
10066,17477
6199,23700
5814,24565
10923,16507
5389,27216
13118,19606
1748,27033
9315,19381
4069,26344
4097,26341
8692,21331
2678,24410
10798,16111
4816,28898
2715,23865
10499,16382
12359,19275
4902,28194
12000,17129
7652,20028
8852,20597
5890,25725
8402,19725
5749,23948
9458,19951
4501,30470
12415,19653
1398,27012
9934,18557
973,28847
9072,20395
5937,26039
5848,24801
8994,19588
7728,19263
12215,18295
6831,21840
5152,28547
10859,16090
9746,19696
4871,28980
4533,29185
10242,17250
1374,26722
3088,23945
11124,16491
9152,19480
11897,17187
12463,20233
11680,18030
2458,24217
5414,25455
4665,28916
11854,17730
6654,22578
6664,22369
10,25057
7229,21159
4454,30742
10987,16487
1426,26775
10826,15653
3265,24763
7785,19362
10688,16150
718,27763
6984,20620
8631,22748
11896,17223
4165,26308
11850,17666
12407,19776
5044,29125
735,27300
11345,18450
5400,26131
323,28937
6577,24615
2140,28891
5391,27036
7120,20442
9199,19864
909,28448
2627,23947
9075,20069
5654,25876
3399,25375
496,30078
10221,17426
11826,17735
12035,17533
10959,16855
9341,18702
8396,20116
3470,25366
1206,25282
5228,29224
12607,18907
12368,19489
12798,22637
10873,15770
1195,25764
8169,16587
7864,18778
6875,21779
8005,16876
4024,26567
13255,22700
8579,21686
8944,19018
11526,18318
8054,16710
288,28858
4012,26440
6753,19770
11275,16681
11684,18009
7234,21575
9027,20523
8432,19251
5740,24837
388,29046
836,27259
9858,17795
9531,18806
280,29063
3728,24706
11868,17349
6607,24732
5257,28264
10624,17089
3785,24863
6234,24215
1112,28340
5513,26254
3702,24243
12773,21957
11217,16777
11009,16466
1034,28577
3798,24909
9088,20443
267,28729
5508,26533
1598,26875
4810,29246
7457,20966
10788,16001
5762,24463
12515,19740
6554,24872
8718,21232
6187,23435
3048,24651
7998,17098
10727,15251
1379,26716
7414,21631
4162,26312
10592,16683
6883,22124
13352,23652
416,29193
13193,21861
6125,24526
3371,25342
1962,27669
620,29458
1703,27524
10212,17069
4217,27761
11263,16253
8749,20860
3473,25738
6775,20491
8511,21243
1232,25569
11209,17135
10054,17654
5507,26546
10819,15674
9145,19844
7525,20634
11747,18053
2516,22698
6005,24941
10285,17658
3094,24237
5703,25785
12978,24661
1190,25963
10197,17416
8525,21070
11587,18341
7689,19787
9953,18230
7918,17950
12066,17747
9733,19556
10032,17643
7219,20963
7873,18590
1506,26036
8176,16505
11615,18022
7821,18828
6914,21930
9792,19292
11074,16735
4520,29275
13076,23150
9964,18115
794,26809
11812,17801
730,27611
1344,25509
9785,19063
6216,24291
5601,25291
11051,17140
2626,24080
5397,26244
10672,16324
11389,18928
1745,27619
1315,25826
13032,23478
5635,25917
13085,23094
2709,23957
8696,21156
6053,25282
9182,19892
2675,24408
1199,25560
13327,23268
13269,22603
4149,26228
12319,20565
3126,26300
1156,26062
7356,21596
12086,17720
1889,26348
6608,24758
4341,29581
12987,24720
32,25945
4110,26238
9059,20375
10415,17862
13304,23588
1336,25351
6258,23215
5100,28806
11480,18723
7623,20043
4125,26517
9589,18758
1610,26737
939,28377
10109,17270
9494,18883
10509,16395
12996,24658
12373,19423
9887,17809
745,27306
5459,26311
5563,24780
1486,26022
2877,22888
6137,24207
605,29497
1741,27660
8296,17319
1533,25678
2651,24508
5875,25225
13331,23371
5008,28226
7065,19951
3002,24016
1821,26451
7401,21936
11194,16919
1330,25420
12317,21208
4989,28091
957,28883
2110,29069
4329,29365
8267,17536
3130,26511
9772,18991
3405,25127
7529,20511
4972,27522
13178,21593
1660,26978
1026,28470
3827,24483
8060,16334
4099,26453
1247,26135
11925,17091
11181,16770
655,28911
623,29637
9681,19489
762,27235
6435,24171
6071,25657
4649,29268
5079,29189
2199,26334
8215,18296
4685,27852
11334,18168
3214,25148
11919,17318
13026,23380
13328,23260
10234,17029
9839,17941
11295,17326
8768,20879
2764,23737
12044,17376
1405,27266
11521,18345
2625,23993
8163,16699
6978,20693
7305,20701
8138,15363
3148,26275
2928,23606
1746,27649
10162,17921
8454,19682
2873,23327
3547,24230
7238,21484
5145,28781
4403,29207
2457,24882
5688,25738
8955,19270
76,26626
5903,26168
9713,20290
7889,18448
5250,28651
11733,17714
2698,23870
6181,23541
10993,16541
11656,17894
6706,21630
2260,27099
1775,26305
12878,22967
4081,26429
93,26865
9159,19683
9132,20029
12051,17470
7854,18862
7021,20131
13286,23384
13292,23027
714,27395
3181,25470
5318,27754
1076,28390
7949,17171
4660,28901
5066,28875
2015,27856
7828,19363
6850,21799
1885,26424
7277,20917
4746,28375
6872,21963
9366,18161
12825,22602
4353,29279
1488,26015
6389,23683
9901,18467
8948,19066
4604,29292
11468,18675
4785,28860
2759,23639
10360,18236
4303,29542
3352,24450
1437,26621
1233,25608
10563,16549
185,27692
3753,24419
4031,26537
5418,26122
7682,19906
11207,17033
2465,23085
11726,17658
2286,27533
2067,28312
1297,25727
5375,27686
5620,25465
3752,24404
5292,27054
6961,20957
449,28725
3746,24166
11827,17754
2960,24676
10092,17739
9691,19326
3621,23575
2317,27539
4629,28995
6205,24096
2185,27218
381,28823
1890,26440
1155,26033
5186,28422
8540,21372
8997,19701
1728,27689
4508,29565
9418,19361
9619,19372
2425,26053
2727,24196
9609,18916
9728,19946
1253,26175
4764,28646
7070,19336
4484,30619
2503,21289
8074,16185
6885,22338
2463,23332
7540,20939
2846,24371
11846,17470
4019,26531
10292,17860
1612,26715
7884,18669
3656,23509
2191,26960
1729,27705
8066,16373
12744,21266
7203,21057
11138,16407
10010,17923
10038,17598
8137,15515
5719,25273
2206,26233
530,29930
8606,21565
7376,22290
567,29949
13125,20696
13119,19575
9320,19337
9525,19000
5025,28296
11463,18545
3485,25065
4412,29273
13133,20947
7436,21726
7599,19932
10296,17994
12179,17454
5964,25307
12822,22638
144,27694
12198,17670
8091,15178
4170,26410
10602,16601
2755,23345
8763,20632
8114,15456
2492,23280
6029,24697
3139,26072
5156,28463
7105,19765
4420,29505
7731,19917
8882,20059
3272,24714
11416,19562
6590,24544
4779,28494
2889,23335
9399,19201
9625,19584
7444,21155
788,26640
4521,29160
4600,29346
12703,20388
2676,24286
4872,28972
9377,19096
11167,16764
2030,28348
6025,24779
4561,29032
10883,15897
12942,23626
5844,24599
10835,15544
8634,22714
13090,22679
11308,17596
8083,15224
7726,19236
431,28787
11450,19056
1780,26380
7276,20893
9851,17615
2959,24697
5477,26166
9909,18459
7320,21114
349,28183
13249,22683
9867,17812
3349,24425
42,26515
801,26693
3529,24477
4860,28876
981,28661
3458,25272
4740,28639
4436,29557
9303,19411
6466,25100
8531,21416
6383,23456
5632,25900
6438,24219
11108,16747
916,28172
1616,26738
4463,31006
6147,23855
2146,29055
1833,26614
4789,28864
7533,20648
5980,25029
10364,17770
12299,22581
8677,21666
9652,19036
782,26717
8404,19666
6196,23645
8688,21482
12905,23520
2401,26175
6179,23826
2152,28729
10306,17717
2947,24134
8550,21515
7562,20410
6630,23461
10168,17776
6077,25578
6341,23468
11445,19183
3023,24170
3541,24483
3279,24858
12762,21441
7496,20684
8558,21430
2804,24081
2211,26167
6101,24994
6662,22745
9841,17865
3133,26162
11033,16533
7248,21760
2107,28950
8629,22685
12138,17433
3973,26401
8998,19807
3034,24345
5527,26088
3286,24682
2367,26693
8218,18309
10839,15560
440,28643
11297,17342
8523,21242
11987,17144
7637,19485
12785,21955
1224,25180
7465,20874
2592,23197
3247,25076
9054,20321
10387,17986
10151,18092
6657,22777
2691,23572
4132,26634
5434,25937
5165,28208
2249,27293
9813,18535
6994,19739
9705,19743
9006,20170
3649,23333
7801,19137
8845,20615
4622,28914
5909,26029
1360,26598
3196,25225
2037,28396
486,29769
8890,19672
783,26642
7571,20027
5090,28857
10308,17686
3238,25108
5125,28710
11216,16815
4325,29515
13306,23554
13372,23181
10289,17641
6611,24678
1915,26264
6113,24564
6347,23254
3464,25139
2138,28982
8521,21379
10905,16159
742,27329
8421,19375
6290,22909
5196,28258
7250,21849
13236,21935
3442,25461
9553,19189
2847,24376
5665,26334
13224,21950
10410,17847
5597,25242
8900,19769
7704,19585
10751,15017
5114,28628
1834,26640
8487,19944
7753,19985
11250,16490
4983,27919
4768,28407
11192,16882
5206,28716
4560,29071
8991,19649
3003,24212
23,25927
5920,26110
3524,24609
9819,18319
6957,21030
7964,17343
1309,25592
9287,19768
6908,21651
3475,25329
789,26734
10643,16726
10661,16597
3284,25044
6417,24448
2514,23057
9820,18327
12549,19640
12848,23148
12805,23127
10327,17551
12973,24220
3688,23951
1395,27103
10439,17442
4295,28943
13333,23516
9712,20118
6576,24632
7966,18010
7584,19648
5001,28440
11562,18287
7621,20008
3301,24354
11452,18897
