,time,Open,High,Low,Close,Volume,stock_code,ric_code,uuid,last_modified_date,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus
858,2019-06-14 21:00:00+08:00,26998,27016,26939,26973,1693562,HSI,^HSI,6046280403573716740,2025-06-03 12:25:11.232890+08:00,辛亥,丁酉,壬辰,丙午,庚午,甲寅,己未,乙亥,辛亥,丁戌,丙午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
859,2019-06-14 23:00:00+08:00,26973,26981,26907,26939,6185137,HSI,^HSI,425287494784626882,2025-06-03 12:25:11.232890+08:00,甲子,癸未,戊寅,己未,庚午,甲寅,己未,乙亥,甲子,戊午,丙午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
860,2019-06-17 09:00:00+08:00,27010,27446,26995,27266,3741155,HSI,^HSI,3011192437972793129,2025-06-03 12:25:11.232890+08:00,辛巳,乙酉,庚辰,丙子,庚午,甲寅,己未,乙亥,辛巳,乙戌,辛午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
861,2019-06-17 11:00:00+08:00,27267,27288,27132,27221,9725836,HSI,^HSI,8583084376272639097,2025-06-03 12:25:11.232890+08:00,壬午,庚子,乙未,丁丑,庚午,甲寅,己未,乙亥,壬午,乙亥,辛午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
862,2019-06-17 13:00:00+08:00,27223,27273,27128,27147,6008264,HSI,^HSI,1997727822422567006,2025-06-03 12:25:11.232890+08:00,癸未,庚子,乙未,戊寅,庚午,甲寅,己未,乙亥,癸未,庚亥,辛午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
863,2019-06-17 15:00:00+08:00,27147,27194,27121,27147,2811127,HSI,^HSI,10743466838940716530,2025-06-03 12:25:11.232890+08:00,甲申,庚子,乙未,己卯,庚午,甲寅,己未,乙亥,甲申,庚子,辛午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
864,2019-06-17 17:00:00+08:00,27157,27163,27100,27106,6278617,HSI,^HSI,11961519467027254031,2025-06-03 12:25:11.232890+08:00,乙酉,庚子,乙未,庚辰,庚午,甲寅,己未,乙亥,乙酉,庚子,辛午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
865,2019-06-17 19:00:00+08:00,27107,27163,27096,27128,9039907,HSI,^HSI,5439527224323342559,2025-06-03 12:25:11.232890+08:00,丙戌,庚子,乙未,辛巳,庚午,甲寅,己未,乙亥,丙戌,庚丑,辛午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
866,2019-06-17 21:00:00+08:00,27128,27206,27097,27182,9893865,HSI,^HSI,841178150407110551,2025-06-03 12:25:11.232890+08:00,丁亥,庚子,乙未,壬午,庚午,甲寅,己未,乙亥,丁亥,庚丑,辛午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
867,2019-06-17 23:00:00+08:00,27181,27205,27139,27163,1250112,HSI,^HSI,14496815296165411773,2025-06-03 12:25:11.232890+08:00,庚子,丙戌,辛巳,乙未,庚午,甲寅,己未,乙亥,庚子,辛酉,辛午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
868,2019-06-18 01:00:00+08:00,27161,27189,27148,27158,2407217,HSI,^HSI,8739645795152861208,2025-06-03 12:25:11.232890+08:00,己丑,丙戌,辛巳,甲申,庚午,甲寅,己未,乙亥,己丑,丙酉,辛午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
869,2019-06-18 09:00:00+08:00,27200,27380,27106,27374,3351924,HSI,^HSI,15510216103793736435,2025-06-03 12:25:11.232890+08:00,癸巳,丙戌,辛巳,戊子,庚午,甲寅,己未,乙亥,癸巳,丙亥,辛午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
870,2019-06-18 11:00:00+08:00,27373,27404,27303,27349,1415640,HSI,^HSI,16749878761504272166,2025-06-03 12:25:11.232890+08:00,甲午,辛丑,丙申,己丑,庚午,甲寅,己未,乙亥,甲午,丙子,辛午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
871,2019-06-18 13:00:00+08:00,27349,27519,27309,27494,1460904,HSI,^HSI,13638192811930951032,2025-06-03 12:25:11.232890+08:00,乙未,辛丑,丙申,庚寅,庚午,甲寅,己未,乙亥,乙未,辛子,辛午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
872,2019-06-18 15:00:00+08:00,27495,27499,27374,27442,9365845,HSI,^HSI,9050333877206887597,2025-06-03 12:25:11.232890+08:00,丙申,辛丑,丙申,辛卯,庚午,甲寅,己未,乙亥,丙申,辛丑,辛午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
873,2019-06-18 17:00:00+08:00,27459,27528,27447,27518,9155907,HSI,^HSI,16142628855830483820,2025-06-03 12:25:11.232890+08:00,丁酉,辛丑,丙申,壬辰,庚午,甲寅,己未,乙亥,丁酉,辛丑,辛午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
874,2019-06-18 19:00:00+08:00,27515,27572,27503,27552,5402848,HSI,^HSI,5968632694964411716,2025-06-03 12:25:11.232890+08:00,戊戌,辛丑,丙申,癸巳,庚午,甲寅,己未,乙亥,戊戌,辛寅,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
