,time,date,stock_code
144,2025-07-17 09:07:33.770289+08:00,2025-07-17 09:07:33.770289+08:00,HSI
145,2025-07-17 10:07:33.770289+08:00,2025-07-17 10:07:33.770289+08:00,HSI
146,2025-07-17 11:07:33.770289+08:00,2025-07-17 11:07:33.770289+08:00,HSI
147,2025-07-17 12:07:33.770289+08:00,2025-07-17 12:07:33.770289+08:00,HSI
148,2025-07-17 13:07:33.770289+08:00,2025-07-17 13:07:33.770289+08:00,HSI
149,2025-07-17 14:07:33.770289+08:00,2025-07-17 14:07:33.770289+08:00,HSI
150,2025-07-17 15:07:33.770289+08:00,2025-07-17 15:07:33.770289+08:00,HSI
151,2025-07-17 16:07:33.770289+08:00,2025-07-17 16:07:33.770289+08:00,HSI
152,2025-07-18 09:07:33.770289+08:00,2025-07-18 09:07:33.770289+08:00,HSI
153,2025-07-18 10:07:33.770289+08:00,2025-07-18 10:07:33.770289+08:00,HSI
154,2025-07-18 11:07:33.770289+08:00,2025-07-18 11:07:33.770289+08:00,HSI
155,2025-07-18 12:07:33.770289+08:00,2025-07-18 12:07:33.770289+08:00,HSI
156,2025-07-18 13:07:33.770289+08:00,2025-07-18 13:07:33.770289+08:00,HSI
157,2025-07-18 14:07:33.770289+08:00,2025-07-18 14:07:33.770289+08:00,HSI
158,2025-07-18 15:07:33.770289+08:00,2025-07-18 15:07:33.770289+08:00,HSI
159,2025-07-18 16:07:33.770289+08:00,2025-07-18 16:07:33.770289+08:00,HSI
160,2025-07-21 09:07:33.770289+08:00,2025-07-21 09:07:33.770289+08:00,HSI
161,2025-07-21 10:07:33.770289+08:00,2025-07-21 10:07:33.770289+08:00,HSI
162,2025-07-21 11:07:33.770289+08:00,2025-07-21 11:07:33.770289+08:00,HSI
163,2025-07-21 12:07:33.770289+08:00,2025-07-21 12:07:33.770289+08:00,HSI
164,2025-07-21 13:07:33.770289+08:00,2025-07-21 13:07:33.770289+08:00,HSI
165,2025-07-21 14:07:33.770289+08:00,2025-07-21 14:07:33.770289+08:00,HSI
166,2025-07-21 15:07:33.770289+08:00,2025-07-21 15:07:33.770289+08:00,HSI
167,2025-07-21 16:07:33.770289+08:00,2025-07-21 16:07:33.770289+08:00,HSI
168,2025-07-22 09:07:33.770289+08:00,2025-07-22 09:07:33.770289+08:00,HSI
169,2025-07-22 10:07:33.770289+08:00,2025-07-22 10:07:33.770289+08:00,HSI
170,2025-07-22 11:07:33.770289+08:00,2025-07-22 11:07:33.770289+08:00,HSI
171,2025-07-22 12:07:33.770289+08:00,2025-07-22 12:07:33.770289+08:00,HSI
172,2025-07-22 13:07:33.770289+08:00,2025-07-22 13:07:33.770289+08:00,HSI
173,2025-07-22 14:07:33.770289+08:00,2025-07-22 14:07:33.770289+08:00,HSI
174,2025-07-22 15:07:33.770289+08:00,2025-07-22 15:07:33.770289+08:00,HSI
175,2025-07-22 16:07:33.770289+08:00,2025-07-22 16:07:33.770289+08:00,HSI
176,2025-07-23 09:07:33.770289+08:00,2025-07-23 09:07:33.770289+08:00,HSI
177,2025-07-23 10:07:33.770289+08:00,2025-07-23 10:07:33.770289+08:00,HSI
178,2025-07-23 11:07:33.770289+08:00,2025-07-23 11:07:33.770289+08:00,HSI
179,2025-07-23 12:07:33.770289+08:00,2025-07-23 12:07:33.770289+08:00,HSI
180,2025-07-23 13:07:33.770289+08:00,2025-07-23 13:07:33.770289+08:00,HSI
181,2025-07-23 14:07:33.770289+08:00,2025-07-23 14:07:33.770289+08:00,HSI
182,2025-07-23 15:07:33.770289+08:00,2025-07-23 15:07:33.770289+08:00,HSI
183,2025-07-23 16:07:33.770289+08:00,2025-07-23 16:07:33.770289+08:00,HSI
184,2025-07-24 09:07:33.770289+08:00,2025-07-24 09:07:33.770289+08:00,HSI
185,2025-07-24 10:07:33.770289+08:00,2025-07-24 10:07:33.770289+08:00,HSI
186,2025-07-24 11:07:33.770289+08:00,2025-07-24 11:07:33.770289+08:00,HSI
187,2025-07-24 12:07:33.770289+08:00,2025-07-24 12:07:33.770289+08:00,HSI
188,2025-07-24 13:07:33.770289+08:00,2025-07-24 13:07:33.770289+08:00,HSI
189,2025-07-24 14:07:33.770289+08:00,2025-07-24 14:07:33.770289+08:00,HSI
190,2025-07-24 15:07:33.770289+08:00,2025-07-24 15:07:33.770289+08:00,HSI
191,2025-07-24 16:07:33.770289+08:00,2025-07-24 16:07:33.770289+08:00,HSI
192,2025-07-25 09:07:33.770289+08:00,2025-07-25 09:07:33.770289+08:00,HSI
193,2025-07-25 10:07:33.770289+08:00,2025-07-25 10:07:33.770289+08:00,HSI
194,2025-07-25 11:07:33.770289+08:00,2025-07-25 11:07:33.770289+08:00,HSI
195,2025-07-25 12:07:33.770289+08:00,2025-07-25 12:07:33.770289+08:00,HSI
196,2025-07-25 13:07:33.770289+08:00,2025-07-25 13:07:33.770289+08:00,HSI
197,2025-07-25 14:07:33.770289+08:00,2025-07-25 14:07:33.770289+08:00,HSI
198,2025-07-25 15:07:33.770289+08:00,2025-07-25 15:07:33.770289+08:00,HSI
199,2025-07-25 16:07:33.770289+08:00,2025-07-25 16:07:33.770289+08:00,HSI
200,2025-07-28 09:07:33.770289+08:00,2025-07-28 09:07:33.770289+08:00,HSI
201,2025-07-28 10:07:33.770289+08:00,2025-07-28 10:07:33.770289+08:00,HSI
202,2025-07-28 11:07:33.770289+08:00,2025-07-28 11:07:33.770289+08:00,HSI
203,2025-07-28 12:07:33.770289+08:00,2025-07-28 12:07:33.770289+08:00,HSI
204,2025-07-28 13:07:33.770289+08:00,2025-07-28 13:07:33.770289+08:00,HSI
205,2025-07-28 14:07:33.770289+08:00,2025-07-28 14:07:33.770289+08:00,HSI
