,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date
24,2025-05-30 21:11:26.195728+08:00,2025-05-30 21:11:26.195728+08:00,HSI,乙亥,甲寅,己未,庚辰,丙申,乙巳,庚子,辛卯,乙亥,甲卯,乙申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,3143722194958270949,2025-04-25 13:11:28.579818+08:00
25,2025-06-02 21:11:26.195728+08:00,2025-06-02 21:11:26.195728+08:00,HSI,辛亥,丁巳,壬戌,丙辰,丙申,乙巳,庚子,辛卯,辛亥,丁午,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,17485401147534313028,2025-04-25 13:11:28.579818+08:00
26,2025-06-03 21:11:26.195728+08:00,2025-06-03 21:11:26.195728+08:00,HSI,癸亥,戊午,癸亥,戊辰,丙申,乙巳,庚子,辛卯,癸亥,戊未,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,11797448604579716081,2025-04-25 13:11:28.579818+08:00
27,2025-06-04 21:11:26.195728+08:00,2025-06-04 21:11:26.195728+08:00,HSI,乙亥,己未,甲子,庚辰,丙申,乙巳,庚子,辛卯,乙亥,己申,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,2366610039660792862,2025-04-25 13:11:28.579818+08:00
28,2025-06-05 21:11:26.195728+08:00,2025-06-05 21:11:26.195728+08:00,HSI,丁亥,庚申,乙丑,壬辰,壬午,乙巳,庚子,丁丑,丁亥,庚酉,壬午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,4193398797879241705,2025-04-25 13:11:28.579818+08:00
29,2025-06-06 21:11:26.195728+08:00,2025-06-06 21:11:26.195728+08:00,HSI,己亥,辛酉,丙辰,甲午,壬午,庚申,乙丑,丁亥,己亥,辛戌,壬午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,11366376211600415336,2025-04-25 13:11:28.579818+08:00
30,2025-06-09 21:11:26.195728+08:00,2025-06-09 21:11:26.195728+08:00,HSI,乙亥,甲子,己未,庚午,壬午,庚申,乙丑,丁亥,乙亥,甲丑,丁午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,6343671996388090427,2025-04-25 13:11:28.579818+08:00
31,2025-06-10 21:11:26.195728+08:00,2025-06-10 21:11:26.195728+08:00,HSI,丁亥,乙丑,庚申,壬午,壬午,庚申,乙丑,丁亥,丁亥,乙寅,丁午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,1413378986502653138,2025-04-25 13:11:28.579818+08:00
32,2025-06-11 21:11:26.195728+08:00,2025-06-11 21:11:26.195728+08:00,HSI,己亥,丙寅,辛酉,甲午,壬午,庚申,乙丑,丁亥,己亥,丙卯,丁午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,5555939214730591495,2025-04-25 13:11:28.579818+08:00
33,2025-06-12 21:11:26.195728+08:00,2025-06-12 21:11:26.195728+08:00,HSI,辛亥,丁卯,壬戌,丙午,壬午,庚申,乙丑,丁亥,辛亥,丁辰,戊午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,4017443272910695825,2025-04-25 13:11:28.579818+08:00
34,2025-06-13 21:11:26.195728+08:00,2025-06-13 21:11:26.195728+08:00,HSI,癸亥,戊辰,癸亥,戊午,壬午,庚申,乙丑,丁亥,癸亥,戊巳,戊午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,18312406504806545313,2025-04-25 13:11:28.579818+08:00
35,2025-06-16 21:11:26.195728+08:00,2025-06-16 21:11:26.195728+08:00,HSI,己亥,辛未,丙寅,甲午,壬午,庚申,乙丑,丁亥,己亥,辛申,癸午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,1784706176745420243,2025-04-25 13:11:28.579818+08:00
36,2025-06-17 21:11:26.195728+08:00,2025-06-17 21:11:26.195728+08:00,HSI,辛亥,壬申,丁卯,丙午,壬午,庚申,乙丑,丁亥,辛亥,壬酉,癸午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,11742908332804467911,2025-04-25 13:11:28.579818+08:00
37,2025-06-18 21:11:26.195728+08:00,2025-06-18 21:11:26.195728+08:00,HSI,癸亥,癸酉,戊辰,戊午,壬午,庚申,乙丑,丁亥,癸亥,癸戌,甲午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,5305227277841136864,2025-04-25 13:11:28.579818+08:00
38,2025-06-19 21:11:26.195728+08:00,2025-06-19 21:11:26.195728+08:00,HSI,乙亥,甲戌,己巳,庚午,壬午,庚申,乙丑,丁亥,乙亥,甲亥,甲午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,4971274981951455683,2025-04-25 13:11:28.579818+08:00
39,2025-06-20 21:11:26.195728+08:00,2025-06-20 21:11:26.195728+08:00,HSI,丁亥,乙亥,庚午,壬午,壬午,庚申,乙丑,丁亥,丁亥,乙子,甲午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,3013419920588418713,2025-04-25 13:11:28.579818+08:00
40,2025-06-23 21:11:26.195728+08:00,2025-06-23 21:11:26.195728+08:00,HSI,癸亥,戊寅,癸酉,戊午,丁酉,庚申,乙丑,壬寅,癸亥,戊卯,己酉,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,858763752597542564,2025-04-25 13:11:28.579818+08:00
41,2025-06-24 21:11:26.195728+08:00,2025-06-24 21:11:26.195728+08:00,HSI,乙亥,己卯,甲戌,庚午,丁酉,庚申,乙丑,壬寅,乙亥,己辰,庚酉,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,13944681909066293131,2025-04-25 13:11:28.579818+08:00
42,2025-06-25 21:11:26.195728+08:00,2025-06-25 21:11:26.195728+08:00,HSI,丁亥,庚辰,乙亥,壬午,丁酉,庚申,乙丑,壬寅,丁亥,庚巳,庚酉,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,13545592934589866845,2025-04-25 13:11:28.579818+08:00
43,2025-06-26 21:11:26.195728+08:00,2025-06-26 21:11:26.195728+08:00,HSI,己亥,辛巳,丙子,甲午,丁酉,庚申,乙丑,壬寅,己亥,辛午,庚酉,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,16812329454374796375,2025-04-25 13:11:28.579818+08:00
44,2025-06-27 21:11:26.195728+08:00,2025-06-27 21:11:26.195728+08:00,HSI,辛亥,壬午,丁丑,丙午,丁酉,庚申,乙丑,壬寅,辛亥,壬未,乙酉,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,1910683974925592221,2025-04-25 13:11:28.579818+08:00
45,2025-06-30 21:11:26.195728+08:00,2025-06-30 21:11:26.195728+08:00,HSI,丁亥,乙酉,庚辰,壬午,丁酉,庚申,乙丑,壬寅,丁亥,乙戌,乙酉,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,12812796256774988441,2025-04-25 13:11:28.579818+08:00
46,2025-07-01 21:11:26.195728+08:00,2025-07-01 21:11:26.195728+08:00,HSI,己亥,丙戌,辛巳,甲午,丁酉,庚申,乙丑,壬寅,己亥,丙亥,丙酉,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,11512660385252271071,2025-04-25 13:11:28.579818+08:00
47,2025-07-02 21:11:26.195728+08:00,2025-07-02 21:11:26.195728+08:00,HSI,辛亥,丁亥,壬午,丙午,丁酉,庚申,乙丑,壬寅,辛亥,丁子,丙酉,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,1523506001172686251,2025-04-25 13:11:28.579818+08:00
48,2025-07-03 21:11:26.195728+08:00,2025-07-03 21:11:26.195728+08:00,HSI,癸亥,戊子,癸未,戊午,丁酉,庚申,乙丑,壬寅,癸亥,戊丑,丙酉,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,11411750789037632931,2025-04-25 13:11:28.579818+08:00
