,time,date,stock_code
104,2025-05-01 05:28:24.853174+08:00,2025-05-01 05:28:24.853174+08:00,HSI
105,2025-05-02 05:28:24.853174+08:00,2025-05-02 05:28:24.853174+08:00,HSI
106,2025-05-05 05:28:24.853174+08:00,2025-05-05 05:28:24.853174+08:00,HSI
107,2025-05-06 05:28:24.853174+08:00,2025-05-06 05:28:24.853174+08:00,HSI
108,2025-05-07 05:28:24.853174+08:00,2025-05-07 05:28:24.853174+08:00,HSI
109,2025-05-08 05:28:24.853174+08:00,2025-05-08 05:28:24.853174+08:00,HSI
110,2025-05-09 05:28:24.853174+08:00,2025-05-09 05:28:24.853174+08:00,HSI
111,2025-05-12 05:28:24.853174+08:00,2025-05-12 05:28:24.853174+08:00,HSI
112,2025-05-13 05:28:24.853174+08:00,2025-05-13 05:28:24.853174+08:00,HSI
113,2025-05-14 05:28:24.853174+08:00,2025-05-14 05:28:24.853174+08:00,HSI
114,2025-05-15 05:28:24.853174+08:00,2025-05-15 05:28:24.853174+08:00,HSI
115,2025-05-16 05:28:24.853174+08:00,2025-05-16 05:28:24.853174+08:00,HSI
116,2025-05-19 05:28:24.853174+08:00,2025-05-19 05:28:24.853174+08:00,HSI
117,2025-05-20 05:28:24.853174+08:00,2025-05-20 05:28:24.853174+08:00,HSI
118,2025-05-21 05:28:24.853174+08:00,2025-05-21 05:28:24.853174+08:00,HSI
119,2025-05-22 05:28:24.853174+08:00,2025-05-22 05:28:24.853174+08:00,HSI
120,2025-05-23 05:28:24.853174+08:00,2025-05-23 05:28:24.853174+08:00,HSI
121,2025-05-26 05:28:24.853174+08:00,2025-05-26 05:28:24.853174+08:00,HSI
122,2025-05-27 05:28:24.853174+08:00,2025-05-27 05:28:24.853174+08:00,HSI
123,2025-05-28 05:28:24.853174+08:00,2025-05-28 05:28:24.853174+08:00,HSI
124,2025-05-29 05:28:24.853174+08:00,2025-05-29 05:28:24.853174+08:00,HSI
125,2025-05-30 05:28:24.853174+08:00,2025-05-30 05:28:24.853174+08:00,HSI
126,2025-06-02 05:28:24.853174+08:00,2025-06-02 05:28:24.853174+08:00,HSI
