,target
9918,20285
6119,24911
9898,19673
11628,19061
9683,19208
11391,16960
144,27694
10736,16334
5344,28630
10402,17602
7826,19821
2755,24038
2492,25088
3139,23945
4687,29292
6442,23349
12038,17699
4003,26407
3272,25101
10903,16154
12082,17582
7528,21856
2889,24324
10202,18286
6180,25432
788,26640
9515,19070
4184,26238
11403,16778
2676,24178
12131,17023
12315,17747
2030,27973
5460,27258
11909,18420
9727,18820
3919,24840
4843,28974
4808,28367
5470,27226
7015,22340
431,28787
10934,16162
1780,26982
6597,25030
8013,18850
3482,25069
8845,21929
349,28183
9589,19253
11455,16638
3349,24724
2909,24340
7606,20980
42,26515
3613,24229
3528,25332
981,28635
2312,27807
4313,27905
10124,18435
6147,24497
8663,19846
11112,15985
5862,23669
7915,19415
11129,16235
12299,17424
11134,16213
5837,24528
9357,19876
9886,19316
7645,20736
7500,21596
916,28158
6363,23735
7319,20007
9102,19210
10351,17945
1616,26818
2846,24145
5527,26065
11814,18301
6137,24882
7590,21155
11378,16585
1833,26904
12664,19776
8062,18027
7726,20149
4176,26408
9251,20430
3971,26343
8278,14844
9224,20253
782,26717
591,29771
1156,26580
1536,26143
12757,19831
3694,23483
9661,19730
8289,14637
7246,19726
9069,19727
2401,26604
12440,17342
8518,19536
10295,17902
5489,27307
2152,28701
6670,24325
4607,28901
4110,26685
7093,21030
12403,17237
2947,22734
8878,21257
8280,14931
10713,16310
2816,23872
4337,28243
4162,26530
8455,17565
12302,17662
6752,24168
3991,26288
3652,24291
4792,28285
7930,19487
8359,16819
9475,19680
10721,16434
3023,25130
7075,21350
3279,25609
8297,15456
1731,27563
8063,17899
12188,16731
11063,15560
7802,20028
1870,26975
2804,23759
5577,26167
2211,27641
10790,16709
9468,19822
9407,20260
3133,24460
168,27935
3702,23342
12127,17084
4111,26718
11154,16528
11110,15964
4291,27634
11575,18426
12148,17023
2107,28155
5861,23833
7844,19760
9699,18796
3034,24909
8882,21400
4128,26386
7680,20561
567,29949
7508,22103
3286,25600
6053,26060
2367,27255
7481,21069
11703,18616
11119,16276
5379,27829
440,28643
2018,27901
10791,16719
10644,17527
5331,29187
9674,19570
5712,25238
11444,16928
7955,19137
5292,28193
5517,25484
8408,17994
1224,25227
9293,20627
2592,23979
3247,25550
2753,24197
6315,23507
5333,28924
6658,24385
2691,24518
36,26044
7204,19882
6306,23435
8000,18808
2249,26337
7317,19981
