,target
447,16323
1613,17450
1891,17662
1833,17636
2400,19840
2833,24248
2528,19302
2498,19339
2829,24226
2638,20827
1247,18376
294,16797
1547,17472
588,15548
1281,18345
1616,17649
2059,22438
2453,19678
2313,19622
1620,17722
2394,19846
1417,17882
425,16154
534,16013
1054,17142
2405,19718
2654,21132
2893,24795
132,17695
6,17142
2819,24258
421,16145
2816,23789
2167,5824.24
2106,21544
1368,18194
556,15702
2171,5728.56
1689,17314
2837,23740
1725,16893
570,15633
352,17163
91,18081
2256,19512
2685,22188
1170,19446
2204,5984
1284,18318
3027,19969
1666,17191
3001,22798
1591,17794
