,time,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code,uuid,last_modified_date
10,2025-06-18 04:16:24.178158+08:00,甲寅,戊午,癸丑,己酉,壬午,庚申,乙丑,丁亥,辛巳,戊午,癸午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,463476085074249894,2025-06-02 20:16:26.920954+08:00
11,2025-06-19 04:16:24.178158+08:00,丙寅,己未,甲寅,辛酉,壬午,庚申,乙丑,丁亥,癸巳,己未,甲午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,759086758338474354,2025-06-02 20:16:26.920954+08:00
12,2025-06-20 04:16:24.178158+08:00,戊寅,庚申,乙卯,癸酉,壬午,庚申,乙丑,丁亥,乙巳,庚申,甲午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,12145097177054599351,2025-06-02 20:16:26.920954+08:00
13,2025-06-23 04:16:24.178158+08:00,甲寅,癸亥,戊午,己酉,丁酉,庚申,乙丑,壬寅,辛巳,癸亥,己酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,2417081610825461773,2025-06-02 20:16:26.920954+08:00
14,2025-06-24 04:16:24.178158+08:00,丙寅,甲子,己未,辛酉,丁酉,庚申,乙丑,壬寅,癸巳,甲子,己酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,9542080117840678608,2025-06-02 20:16:26.920954+08:00
15,2025-06-25 04:16:24.178158+08:00,戊寅,乙丑,庚申,癸酉,丁酉,庚申,乙丑,壬寅,乙巳,乙丑,庚酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,2558701417745521254,2025-06-02 20:16:26.920954+08:00
16,2025-06-26 04:16:24.178158+08:00,庚寅,丙寅,辛酉,乙酉,丁酉,庚申,乙丑,壬寅,丁巳,丙寅,庚酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,11136047775051417503,2025-06-02 20:16:26.920954+08:00
17,2025-06-27 04:16:24.178158+08:00,壬寅,丁卯,壬戌,丁酉,丁酉,庚申,乙丑,壬寅,己巳,丁卯,庚酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,12283379053226081965,2025-06-02 20:16:26.920954+08:00
18,2025-06-30 04:16:24.178158+08:00,戊寅,庚午,乙丑,癸酉,丁酉,庚申,乙丑,壬寅,乙巳,庚午,乙酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,10459989756953872806,2025-06-02 20:16:26.920954+08:00
19,2025-07-01 04:16:24.178158+08:00,庚寅,辛未,丙寅,乙酉,丁酉,庚申,乙丑,壬寅,丁巳,辛未,丙酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,13705825515594994598,2025-06-02 20:16:26.920954+08:00
20,2025-07-02 04:16:24.178158+08:00,壬寅,壬申,丁卯,丁酉,丁酉,庚申,乙丑,壬寅,己巳,壬申,丙酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,13737477921820994505,2025-06-02 20:16:26.920954+08:00
21,2025-07-03 04:16:24.178158+08:00,甲寅,癸酉,戊辰,己酉,丁酉,庚申,乙丑,壬寅,辛巳,癸酉,丙酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,13892368077221155101,2025-06-02 20:16:26.920954+08:00
22,2025-07-04 04:16:24.178158+08:00,丙寅,甲戌,己巳,辛酉,丁酉,庚申,乙丑,壬寅,癸巳,甲戌,辛酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,7058977252786576377,2025-06-02 20:16:26.920954+08:00
23,2025-07-07 04:16:24.178158+08:00,壬寅,丁丑,壬申,丁酉,癸未,庚申,乙丑,戊子,己巳,丁丑,壬戌,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,13375163524817775259,2025-06-02 20:16:26.920954+08:00
24,2025-07-08 04:16:24.178158+08:00,甲寅,戊寅,癸酉,己酉,癸未,庚申,乙丑,戊子,辛巳,戊寅,癸未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,13814286693125856970,2025-06-02 20:16:26.920954+08:00
25,2025-07-09 04:16:24.178158+08:00,丙寅,己卯,甲戌,辛酉,癸未,庚申,乙丑,戊子,癸巳,己卯,癸未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,15782456195858992795,2025-06-02 20:16:26.920954+08:00
26,2025-07-10 04:16:24.178158+08:00,戊寅,庚辰,乙亥,癸酉,癸未,庚申,乙丑,戊子,乙巳,庚辰,癸未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,12654925663987604644,2025-06-02 20:16:26.920954+08:00
27,2025-07-11 04:16:24.178158+08:00,庚寅,辛巳,丙子,乙酉,癸未,庚申,乙丑,戊子,丁巳,辛巳,戊未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,17939476552772242362,2025-06-02 20:16:26.920954+08:00
28,2025-07-14 04:16:24.178158+08:00,丙寅,甲申,己卯,辛酉,癸未,庚申,乙丑,戊子,癸巳,甲申,己未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,3142168530849170712,2025-06-02 20:16:26.920954+08:00
29,2025-07-15 04:16:24.178158+08:00,戊寅,乙酉,庚辰,癸酉,癸未,庚申,乙丑,戊子,乙巳,乙酉,己未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,15145908337681669738,2025-06-02 20:16:26.920954+08:00
30,2025-07-16 04:16:24.178158+08:00,庚寅,丙戌,辛巳,乙酉,癸未,庚申,乙丑,戊子,丁巳,丙戌,己未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,8958338819881980141,2025-06-02 20:16:26.920954+08:00
31,2025-07-17 04:16:24.178158+08:00,壬寅,丁亥,壬午,丁酉,癸未,庚申,乙丑,戊子,己巳,丁亥,甲未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,318759448199511675,2025-06-02 20:16:26.920954+08:00
32,2025-07-18 04:16:24.178158+08:00,甲寅,戊子,癸未,己酉,癸未,庚申,乙丑,戊子,辛巳,戊子,甲未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,2292176852776818350,2025-06-02 20:16:26.920954+08:00
33,2025-07-21 04:16:24.178158+08:00,庚寅,辛卯,丙戌,乙酉,癸未,庚申,乙丑,戊子,丁巳,辛卯,乙未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,11624918148098703714,2025-06-02 20:16:26.920954+08:00
34,2025-07-22 04:16:24.178158+08:00,壬寅,壬辰,丁亥,丁酉,癸未,庚申,乙丑,戊子,己巳,壬辰,乙未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,9583633655844259590,2025-06-02 20:16:26.920954+08:00
35,2025-07-23 04:16:24.178158+08:00,甲寅,癸巳,戊子,己酉,戊戌,庚申,乙丑,癸卯,辛巳,癸巳,庚戌,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,13481283142599057991,2025-06-02 20:16:26.920954+08:00
36,2025-07-24 04:16:24.178158+08:00,丙寅,甲午,己丑,辛酉,戊戌,庚申,乙丑,癸卯,癸巳,甲午,庚戌,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,9548665721541456808,2025-06-02 20:16:26.920954+08:00
37,2025-07-25 04:16:24.178158+08:00,戊寅,乙未,庚寅,癸酉,戊戌,庚申,乙丑,癸卯,乙巳,乙未,庚戌,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,4846528248624198914,2025-06-02 20:16:26.920954+08:00
