,time,Open,High,Low,Close,stock_code,ric_code,uuid,last_modified_date
1553,2019-10-08 11:00:00+08:00,26177,26202,26001,26012,HSI,^HSI,12403024429131237829,2025-06-04 01:47:50.689417+08:00
1554,2019-10-08 13:00:00+08:00,26013,26024,25896,25953,HSI,^HSI,2329232372372092424,2025-06-04 01:47:50.689417+08:00
1555,2019-10-08 15:00:00+08:00,25953,25971,25840,25867,HSI,^HSI,9996385568755333643,2025-06-04 01:47:50.689417+08:00
1561,2019-10-09 09:00:00+08:00,25710,25869,25651,25760,HSI,^HSI,18016629122847783554,2025-06-04 01:47:50.689417+08:00
1562,2019-10-09 11:00:00+08:00,25759,25790,25702,25710,HSI,^HSI,1493266797542908621,2025-06-04 01:47:50.689417+08:00
1563,2019-10-09 13:00:00+08:00,25705,25774,25644,25695,HSI,^HSI,3017949044652625760,2025-06-04 01:47:50.689417+08:00
1564,2019-10-09 15:00:00+08:00,25693,25738,25634,25662,HSI,^HSI,17240715996721120717,2025-06-04 01:47:50.689417+08:00
1570,2019-10-10 09:00:00+08:00,25560,25830,25507,25746,HSI,^HSI,7136134509022628938,2025-06-04 01:47:50.689417+08:00
1571,2019-10-10 11:00:00+08:00,25747,25771,25705,25743,HSI,^HSI,7168256268001557225,2025-06-04 01:47:50.689417+08:00
1572,2019-10-10 13:00:00+08:00,25744,25830,25740,25775,HSI,^HSI,14940993878571577213,2025-06-04 01:47:50.689417+08:00
1573,2019-10-10 15:00:00+08:00,25774,25809,25691,25809,HSI,^HSI,3051684555462003546,2025-06-04 01:47:50.689417+08:00
1579,2019-10-11 09:00:00+08:00,25970,26148,25929,26102,HSI,^HSI,6344816599741500465,2025-06-04 01:47:50.689417+08:00
1580,2019-10-11 11:00:00+08:00,26101,26330,26100,26329,HSI,^HSI,14752187861716798802,2025-06-04 01:47:50.689417+08:00
1581,2019-10-11 13:00:00+08:00,26328,26446,26303,26354,HSI,^HSI,2348885934172169332,2025-06-04 01:47:50.689417+08:00
1582,2019-10-11 15:00:00+08:00,26355,26410,26304,26410,HSI,^HSI,8840302799809179811,2025-06-04 01:47:50.689417+08:00
1588,2019-10-14 09:00:00+08:00,26540,26662,26373,26599,HSI,^HSI,5010578557019188067,2025-06-04 01:47:50.689417+08:00
1589,2019-10-14 11:00:00+08:00,26598,26625,26573,26591,HSI,^HSI,18018831368594664402,2025-06-04 01:47:50.689417+08:00
1590,2019-10-14 13:00:00+08:00,26592,26608,26513,26552,HSI,^HSI,17756416988976840573,2025-06-04 01:47:50.689417+08:00
1591,2019-10-14 15:00:00+08:00,26551,26564,26486,26532,HSI,^HSI,3207103553717022353,2025-06-04 01:47:50.689417+08:00
1597,2019-10-15 09:00:00+08:00,26577,26636,26476,26531,HSI,^HSI,10975362760587939845,2025-06-04 01:47:50.689417+08:00
1598,2019-10-15 11:00:00+08:00,26530,26542,26452,26540,HSI,^HSI,11978816774256656816,2025-06-04 01:47:50.689417+08:00
1599,2019-10-15 13:00:00+08:00,26535,26539,26433,26510,HSI,^HSI,3287017647972280280,2025-06-04 01:47:50.689417+08:00
1600,2019-10-15 15:00:00+08:00,26511,26537,26479,26485,HSI,^HSI,2854857953514910730,2025-06-04 01:47:50.689417+08:00
1606,2019-10-16 09:00:00+08:00,26550,26739,26383,26673,HSI,^HSI,15542870295534451172,2025-06-04 01:47:50.689417+08:00
1607,2019-10-16 11:00:00+08:00,26673,26684,26456,26524,HSI,^HSI,4904321662834464548,2025-06-04 01:47:50.689417+08:00
1608,2019-10-16 13:00:00+08:00,26525,26686,26516,26645,HSI,^HSI,1100381519786691394,2025-06-04 01:47:50.689417+08:00
1609,2019-10-16 15:00:00+08:00,26645,26716,26617,26642,HSI,^HSI,10248084002896508426,2025-06-04 01:47:50.689417+08:00
1615,2019-10-17 09:00:00+08:00,26760,26988,26708,26907,HSI,^HSI,16848325404706709474,2025-06-04 01:47:50.689417+08:00
1616,2019-10-17 11:00:00+08:00,26906,26938,26850,26875,HSI,^HSI,1745516212927160160,2025-06-04 01:47:50.689417+08:00
1617,2019-10-17 13:00:00+08:00,26875,26878,26768,26818,HSI,^HSI,8251629819836722732,2025-06-04 01:47:50.689417+08:00
1618,2019-10-17 15:00:00+08:00,26817,26901,26781,26885,HSI,^HSI,11285605424857172401,2025-06-04 01:47:50.689417+08:00
1624,2019-10-18 09:00:00+08:00,26869,27015,26753,26799,HSI,^HSI,13188683027545512629,2025-06-04 01:47:50.689417+08:00
1625,2019-10-18 11:00:00+08:00,26799,26852,26781,26834,HSI,^HSI,11396139833650864017,2025-06-04 01:47:50.689417+08:00
1626,2019-10-18 13:00:00+08:00,26830,26836,26682,26708,HSI,^HSI,1661714598223823021,2025-06-04 01:47:50.689417+08:00
1627,2019-10-18 15:00:00+08:00,26708,26742,26657,26675,HSI,^HSI,7553554726031800313,2025-06-04 01:47:50.689417+08:00
1633,2019-10-21 09:00:00+08:00,26710,26843,26646,26776,HSI,^HSI,3006818010867026284,2025-06-04 01:47:50.689417+08:00
1634,2019-10-21 11:00:00+08:00,26774,26822,26766,26805,HSI,^HSI,13986785727174447314,2025-06-04 01:47:50.689417+08:00
1635,2019-10-21 13:00:00+08:00,26799,26803,26700,26738,HSI,^HSI,6729476087252333419,2025-06-04 01:47:50.689417+08:00
1636,2019-10-21 15:00:00+08:00,26737,26774,26690,26696,HSI,^HSI,16952205432688716256,2025-06-04 01:47:50.689417+08:00
1642,2019-10-22 09:00:00+08:00,26785,26896,26713,26819,HSI,^HSI,13165502243339892410,2025-06-04 01:47:50.689417+08:00
1643,2019-10-22 11:00:00+08:00,26819,26841,26780,26800,HSI,^HSI,11377486825568728695,2025-06-04 01:47:50.689417+08:00
1644,2019-10-22 13:00:00+08:00,26800,26830,26771,26822,HSI,^HSI,8902442681606678016,2025-06-04 01:47:50.689417+08:00
1645,2019-10-22 15:00:00+08:00,26822,26838,26762,26781,HSI,^HSI,4976839019908970609,2025-06-04 01:47:50.689417+08:00
1651,2019-10-23 09:00:00+08:00,26775,26820,26460,26473,HSI,^HSI,849389709216323944,2025-06-04 01:47:50.689417+08:00
1652,2019-10-23 11:00:00+08:00,26472,26532,26457,26514,HSI,^HSI,10764675720305809035,2025-06-04 01:47:50.689417+08:00
1653,2019-10-23 13:00:00+08:00,26514,26574,26495,26541,HSI,^HSI,762695180738146206,2025-06-04 01:47:50.689417+08:00
1654,2019-10-23 15:00:00+08:00,26540,26569,26495,26526,HSI,^HSI,12286302610302570064,2025-06-04 01:47:50.689417+08:00
1661,2019-10-24 09:00:00+08:00,26619,26731,26555,26652,HSI,^HSI,9029262977263036119,2025-06-04 01:47:50.689417+08:00
1662,2019-10-24 11:00:00+08:00,26653,26701,26641,26689,HSI,^HSI,2099046786385334919,2025-06-04 01:47:50.689417+08:00
1663,2019-10-24 13:00:00+08:00,26690,26750,26664,26746,HSI,^HSI,3191364210054176485,2025-06-04 01:47:50.689417+08:00
1664,2019-10-24 15:00:00+08:00,26746,26835,26742,26761,HSI,^HSI,12702461733184119959,2025-06-04 01:47:50.689417+08:00
1670,2019-10-25 09:00:00+08:00,26808,26808,26594,26691,HSI,^HSI,4495535363478312682,2025-06-04 01:47:50.689417+08:00
1671,2019-10-25 11:00:00+08:00,26690,26726,26674,26698,HSI,^HSI,16825193540690949790,2025-06-04 01:47:50.689417+08:00
1672,2019-10-25 13:00:00+08:00,26694,26774,26657,26721,HSI,^HSI,10520672893852776779,2025-06-04 01:47:50.689417+08:00
1673,2019-10-25 15:00:00+08:00,26720,26741,26682,26686,HSI,^HSI,10522626447217600990,2025-06-04 01:47:50.689417+08:00
1679,2019-10-28 09:00:00+08:00,26781,27009,26761,26970,HSI,^HSI,26757601359650415,2025-06-04 01:47:50.689417+08:00
1680,2019-10-28 11:00:00+08:00,26969,27041,26962,26978,HSI,^HSI,9866372055560450686,2025-06-04 01:47:50.689417+08:00
1681,2019-10-28 13:00:00+08:00,26978,26988,26903,26919,HSI,^HSI,5962873587204618828,2025-06-04 01:47:50.689417+08:00
